frame_c,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
5,3.0,[735.0078735351562 1397.548095703125 1430.61376953125 2029.3326416015625],[944.9208984375 1790.5264892578125 1191.167724609375 1895.4466552734375],0.48627254366874695,NAIJNRU,[0.12485464802650972]
6,5.0,[2195.294921875 1174.11865234375 2806.58349609375 1773.0174560546875],[2416.05615234375 1588.1224365234375 2590.812744140625 1674.3482666015625],0.6306002736091614,٥575٧,[0.1634193132928173]
6,3.0,[725.7960815429688 1402.698486328125 1426.9725341796875 2040.291015625],[942.6277465820312 1802.425537109375 1184.5889892578125 1902.52490234375],0.4928334057331085,NAI3NRU,[0.3915101852604901]
7,5.0,[2202.03955078125 1182.0062255859375 2810.772705078125 1776.929443359375],[2413.68359375 1588.52197265625 2587.294677734375 1672.470703125],0.6153361201286316,N575٧,[0.1811656339558815]
7,3.0,[718.2347412109375 1404.435302734375 1431.9871826171875 2054.7314453125],[938.2731323242188 1805.97802734375 1185.6671142578125 1911.028564453125],0.5632282495498657,MAI3NRU,[0.2927197568982448]
8,5.0,[2203.773681640625 1190.538330078125 2812.68408203125 1783.871826171875],[2420.7509765625 1596.2391357421875 2590.49755859375 1682.4385986328125],0.6081218719482422,٥5I5U,[0.32601753849283915]
8,3.0,[717.7213745117188 1413.870849609375 1423.775390625 2057.083984375],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394649505615234,IAI3NRU,[0.4679636505114874]
9,5.0,[2205.009521484375 1195.299560546875 2818.787353515625 1791.99169921875],[2420.9755859375 1596.533935546875 2593.8125 1690.518310546875],0.6364392638206482,٥5I5٧,[0.20328493203513834]
9,3.0,[709.155029296875 1419.262939453125 1418.4896240234375 2065.67578125],[935.376708984375 1832.4049072265625 1177.8861083984375 1928.1412353515625],0.5784583687782288,IAI3NFU,[0.5126885845135998]
10,5.0,[2201.66015625 1196.326171875 2820.676025390625 1798.17529296875],[2425.525146484375 1601.3408203125 2597.036376953125 1695.908935546875],0.6335138082504272,٥M5I5٧,[0.09261338294410489]
10,3.0,[700.990234375 1423.9632568359375 1412.03759765625 2072.11865234375],[923.5907592773438 1831.7886962890625 1181.8697509765625 1942.950927734375],0.5649682283401489,IAIJNRU,[0.4255485939028346]
11,5.0,[2195.788330078125 1199.4423828125 2816.1396484375 1803.49560546875],[2418.03173828125 1608.80859375 2596.042236328125 1700.7158203125],0.5458313226699829,٥٧5٥3٧,[0.09895707463595751]
11,3.0,[697.3628540039062 1431.4371337890625 1409.5333251953125 2080.9365234375],[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.5050683617591858,IJNRUا,[0.37880248834503116]
12,5.0,[2195.750732421875 1205.2279052734375 2815.370361328125 1809.0960693359375],[2425.58935546875 1618.761474609375 2596.2451171875 1701.103271484375],0.5818624496459961,٥5/3٧,[0.1846586343004738]
12,3.0,[694.2981567382812 1441.1546630859375 1406.6009521484375 2090.529541015625],[925.7426147460938 1853.29833984375 1158.468505859375 1958.682861328125],0.4612722098827362,NAIJNRU,[0.5659214634898849]
13,5.0,[2196.768310546875 1211.1214599609375 2814.279052734375 1812.988525390625],[2424.335693359375 1625.8406982421875 2597.409912109375 1709.0430908203125],0.616591215133667,٥5/5٧,[0.2626275628153128]
13,3.0,[691.18798828125 1442.9788818359375 1407.2723388671875 2096.175537109375],[925.9462890625 1860.3262939453125 1170.804443359375 1966.883056640625],0.5571580529212952,NAIJNRU,[0.40288875863044665]
14,5.0,[2197.119140625 1214.760009765625 2816.048828125 1818.1553955078125],[2423.824951171875 1634.689453125 2597.97802734375 1715.2305908203125],0.6465806365013123,٥5/٧5٧,[0.11517014285763864]
14,3.0,[688.0054931640625 1450.654052734375 1403.1707763671875 2103.438232421875],[905.5786743164062 1874.880615234375 1173.8658447265625 1974.226318359375],0.35590723156929016,NAIJNRU,[0.4313914579867028]
15,5.0,[2199.8671875 1221.965087890625 2820.420654296875 1827.222900390625],[2425.9013671875 1637.69091796875 2598.005859375 1721.92529296875],0.6484193205833435,|٧5/٧5٧,[0.03123217956220066]
